date_key,date,year,month,quarter
1,2010-07-01,2010,7,3
2,2014-08-01,2014,8,3
3,2013-12-01,2013,12,4
4,2012-08-01,2012,8,3
5,2015-02-01,2015,2,1
6,2014-03-01,2014,3,1
7,2011-03-01,2011,3,1
8,2013-02-01,2013,2,1
9,2015-11-01,2015,11,4
10,2014-05-01,2014,5,2
11,2014-07-01,2014,7,3
12,2014-04-01,2014,4,2
13,2014-09-01,2014,9,3
14,2013-01-01,2013,1,1
15,2010-10-01,2010,10,4
16,2015-01-01,2015,1,1
17,2012-09-01,2012,9,3
18,2012-12-01,2012,12,4
19,2012-03-01,2012,3,1
20,2011-02-01,2011,2,1
21,2015-07-01,2015,7,3
22,2013-11-01,2013,11,4
23,2012-05-01,2012,5,2
24,2014-12-01,2014,12,4
25,2013-04-01,2013,4,2
26,2011-05-01,2011,5,2
27,2015-04-01,2015,4,2
28,2010-05-01,2010,5,2
29,2011-08-01,2011,8,3
30,2013-10-01,2013,10,4
31,2010-12-01,2010,12,4
32,2012-02-01,2012,2,1
33,2015-10-01,2015,10,4
34,2015-05-01,2015,5,2
35,2014-01-01,2014,1,1
36,2012-10-01,2012,10,4
37,2010-04-01,2010,4,2
38,2014-06-01,2014,6,2
39,2014-02-01,2014,2,1
40,2012-06-01,2012,6,2
41,2011-12-01,2011,12,4
42,2015-06-01,2015,6,2
43,2010-06-01,2010,6,2
44,2014-10-01,2014,10,4
45,2012-11-01,2012,11,4
46,2013-05-01,2013,5,2
47,2015-08-01,2015,8,3
48,2010-08-01,2010,8,3
49,2011-11-01,2011,11,4
50,2012-04-01,2012,4,2
51,2011-09-01,2011,9,3
52,2011-06-01,2011,6,2
53,2010-11-01,2010,11,4
54,2010-01-01,2010,1,1
55,2010-03-01,2010,3,1
56,2010-09-01,2010,9,3
57,2013-06-01,2013,6,2
58,2011-10-01,2011,10,4
59,2013-08-01,2013,8,3
60,2011-04-01,2011,4,2
61,2015-12-01,2015,12,4
62,2012-07-01,2012,7,3
63,2014-11-01,2014,11,4
64,2011-01-01,2011,1,1
65,2012-01-01,2012,1,1
66,2010-02-01,2010,2,1
67,2011-07-01,2011,7,3
68,2013-07-01,2013,7,3
69,2013-09-01,2013,9,3
70,2015-09-01,2015,9,3
71,2013-03-01,2013,3,1
72,2015-03-01,2015,3,1
